mean_abs,variance,energy,diff_energy,range,pca1_std,label,aiLabel
0.631319975692571,2.36215241598625,2.43184311705151,0.195408604487162,12.75137409578,19.8176749702021,empty,normal
0.30068906968466,0.262075349257921,0.265515012553918,0.0964345516961524,6.00232197428165,4.05661442817414,empty,normal
0.293094676994975,0.243001985389324,0.247632195429313,0.0934604160143613,6.00232197428165,3.77310893373596,empty,normal
0.29517889082327,0.248217597140171,0.25249535963086,0.0916662719997767,6.51454486621119,3.81586713632621,empty,normal
0.296049851777346,0.251871794485581,0.25516002400375,0.0905980257678951,6.24753382495823,3.50128716261172,empty,normal
0.309104160625399,0.275296964475039,0.284482388542978,0.103113006645268,6.24753382495823,3.91363055199127,empty,normal
0.308487743617307,0.266601246555945,0.283534681467277,0.103126805065055,6.24753382495823,3.86990726549627,empty,normal
0.308643434294804,0.253527491002857,0.279409662099028,0.100605195527019,5.81466196772311,4.09335824804613,empty,normal
0.306141551120667,0.25535445408302,0.274924933176221,0.095069984845827,6.08108213600872,4.14904086446705,empty,normal
0.290328055660525,0.221463409610256,0.239100710457447,0.0844895551146295,6.08108213600872,3.56117427070316,empty,normal
0.303229543812206,0.2549543209648,0.270234001322472,0.0885596975669881,7.24042551185205,4.11256032151537,empty,normal
1.12013074586948,2.37034186263174,2.4237669913197,0.210394550910601,14.3526157838053,13.812700041988,static_person,normal
0.885026671170742,1.38922117388342,1.45430503333449,0.151990986318911,9.81300162261016,11.9493303992365,static_person,normal
0.743792123985441,1.00528050403484,1.04151519126544,0.165841829389917,8.29848523575522,10.3856780114552,static_person,normal
0.736269257852505,0.997932183959505,1.03999239510209,0.165392527700973,7.99587797897408,10.6399749731576,static_person,normal
0.657651694394621,0.814265252075297,0.814281272570777,0.168267553587668,8.1990028971749,9.68421385445812,static_person,normal
0.618177316395567,0.610717958893317,0.642742742013712,0.14453236244972,7.4689608722982,8.68972911552523,static_person,normal
0.611995992398015,0.624137404209322,0.638832032368348,0.129519184615414,7.4689608722982,8.64866528237685,static_person,normal
0.607810366451296,0.531606100942703,0.576868642795571,0.114463956583604,7.18116109016841,7.53706955806372,static_person,normal
0.576977445504687,0.485774777749662,0.512000313034297,0.114890795134607,5.39814764914635,7.42684569330824,static_person,normal
0.58562498914887,0.507418591039858,0.525478775591202,0.106204821877061,5.39814764914635,7.82022919435744,static_person,normal
0.563296466217817,0.46020057163779,0.484960348975785,0.103113782916343,5.39814764914635,7.7935505390811,static_person,normal
0.541984607835558,0.413989769117344,0.448963464162893,0.112159035617427,5.52570746609995,7.10598147633539,static_person,normal
0.576035578936388,0.423729806605026,0.493252450262165,0.0973843429009188,5.97999893727516,6.87746302992235,static_person,normal
0.555686669683286,0.421656150440252,0.476782127081806,0.127754606464792,5.97999893727516,6.17801152270399,static_person,normal
0.6576462518927,0.745565460941622,0.755502928037808,0.1797719554144,7.62372354787918,9.56109736315004,static_person,normal
0.69554678158312,0.880502452765904,0.880974302363959,0.203432795049212,7.62372354787918,10.1558533143774,static_person,normal
