type,seq,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,518819,1a:00:00:00:00:00,-60,11,-95,4,47,6,518819,47,0,128,0,"[0,0,0,0,0,0,0,0,15,18,13,19,13,22,12,24,12,24,10,27,8,27,5,27,4,28,-1,26,1,29,-2,27,-2,28,-2,27,-2,27,-1,28,-2,26,0,27,-2,26,-2,25,-1,27,-2,27,-1,28,-2,28,-4,29,-2,30,-2,29,-5,30,0,0,-3,33,-6,30,-6,28,-6,29,-7,26,-7,28,-7,25,-8,24,-8,25,-8,27,-6,26,-6,23,-6,26,-6,25,-5,24,-7,24,-6,25,-8,24,-10,23,-11,21,-11,23,-12,20,-12,21,-12,19,-15,17,-15,16,-14,12,-16,11,0,0,0,0,0,0]"
CSI_DATA,520819,1a:00:00:00:00:00,-60,11,-95,4,47,6,520819,47,0,128,0,"[0,0,0,0,0,0,0,0,-24,2,-24,0,-25,0,-26,-2,-26,-3,-27,-4,-26,-6,-26,-6,-27,-6,-26,-8,-27,-7,-25,-9,-26,-7,-26,-9,-25,-5,-27,-6,-26,-5,-29,-4,-26,-2,-25,-2,-26,-3,-27,-1,-27,-1,-28,0,-30,1,-28,2,-30,2,-29,2,0,0,-32,6,-29,2,-29,4,-29,4,-27,4,-27,5,-26,4,-24,6,-26,7,-26,9,-24,11,-24,10,-24,9,-22,10,-21,11,-22,12,-22,12,-22,13,-22,13,-21,11,-22,12,-22,11,-22,9,-20,9,-21,8,-22,6,-18,3,-18,3,0,0,0,0,0,0]"
CSI_DATA,522819,1a:00:00:00:00:00,-60,11,-95,4,47,6,522819,47,0,128,0,"[0,0,0,0,0,0,0,0,-18,-16,-16,-16,-16,-19,-16,-22,-15,-22,-16,-24,-12,-24,-11,-24,-11,-26,-8,-25,-9,-25,-7,-25,-8,-26,-6,-27,-7,-25,-9,-26,-9,-26,-10,-26,-10,-26,-8,-23,-10,-26,-10,-26,-11,-25,-11,-26,-9,-27,-11,-27,-10,-29,-9,-27,0,0,-12,-27,-10,-28,-12,-29,-10,-27,-9,-28,-11,-26,-9,-25,-8,-24,-11,-23,-12,-23,-11,-24,-11,-23,-12,-23,-12,-21,-11,-20,-12,-20,-12,-22,-10,-22,-11,-23,-8,-21,-10,-24,-8,-24,-6,-23,-6,-23,-2,-22,-1,-21,1,-19,2,-19,0,0,0,0,0,0]"
CSI_DATA,526819,1a:00:00:00:00:00,-60,11,-95,4,46,6,526819,47,0,128,0,"[0,0,0,0,0,0,0,0,19,9,18,10,18,11,19,13,18,14,21,15,19,17,18,17,19,18,15,18,18,18,15,18,17,19,16,18,16,18,17,18,18,16,20,16,19,15,17,14,20,15,20,14,19,14,22,15,20,14,23,15,23,15,23,14,0,0,26,14,23,14,23,13,23,12,23,13,24,12,21,10,21,11,21,9,22,9,24,7,22,7,22,7,21,5,21,4,23,3,21,4,23,4,22,3,21,5,22,5,20,6,19,7,19,7,18,9,18,8,13,9,15,10,0,0,0,0,0,0]"
CSI_DATA,532819,1a:00:00:00:00:00,-60,11,-95,4,47,6,532819,47,0,128,0,"[0,0,0,0,0,0,0,0,-13,-20,-12,-20,-12,-21,-11,-24,-10,-25,-11,-26,-9,-27,-7,-25,-5,-26,-3,-25,-5,-27,-2,-26,-5,-26,-3,-28,-4,-26,-6,-27,-5,-27,-8,-26,-8,-25,-7,-25,-7,-25,-8,-26,-8,-26,-10,-27,-9,-27,-11,-27,-11,-28,-9,-27,0,0,-10,-27,-11,-29,-13,-28,-12,-26,-11,-26,-11,-27,-11,-25,-9,-23,-11,-23,-14,-22,-14,-22,-13,-21,-15,-21,-14,-20,-15,-19,-15,-18,-16,-19,-15,-20,-14,-21,-12,-21,-13,-22,-11,-21,-11,-21,-11,-21,-8,-21,-7,-21,-4,-17,-4,-19,0,0,0,0,0,0]"
CSI_DATA,538819,1a:00:00:00:00:00,-60,11,-95,4,47,6,538819,47,0,128,0,"[0,0,0,0,0,0,0,0,4,24,2,23,0,26,-2,25,-2,27,-3,27,-4,27,-7,26,-8,28,-11,24,-10,27,-10,24,-10,26,-10,25,-9,25,-8,27,-8,24,-6,27,-7,26,-8,25,-7,25,-7,28,-7,27,-5,27,-7,28,-5,29,-7,30,-8,27,0,0,-7,32,-6,29,-6,29,-6,29,-5,27,-7,28,-6,25,-6,25,-6,26,-4,27,-3,27,-2,26,-1,26,-1,24,0,25,0,24,0,24,-2,25,-2,26,-4,23,-3,25,-5,22,-5,23,-5,23,-8,22,-9,20,-8,16,-9,17,0,0,0,0,0,0]"
CSI_DATA,542819,1a:00:00:00:00:00,-60,11,-95,4,47,6,542819,47,0,128,0,"[0,0,0,0,0,0,0,0,-8,-21,-7,-22,-6,-24,-5,-26,-4,-26,-4,-29,-4,-28,-1,-27,-1,-28,3,-26,0,-28,1,-26,0,-28,1,-27,0,-27,-3,-28,-1,-27,-5,-28,-4,-24,-4,-24,-5,-26,-7,-27,-7,-26,-8,-27,-8,-28,-10,-27,-10,-29,-9,-27,0,0,-13,-28,-12,-29,-12,-26,-13,-27,-11,-24,-13,-26,-12,-24,-11,-23,-12,-22,-15,-21,-15,-20,-16,-19,-16,-20,-15,-17,-18,-19,-17,-16,-18,-18,-16,-19,-17,-18,-15,-18,-16,-19,-15,-18,-15,-19,-14,-18,-13,-19,-12,-19,-9,-17,-7,-16,0,0,0,0,0,0]"
CSI_DATA,544819,1a:00:00:00:00:00,-60,11,-95,4,47,6,544819,47,0,128,0,"[0,0,0,0,0,0,0,0,7,-24,7,-22,9,-23,11,-24,12,-23,14,-25,14,-23,17,-21,18,-22,20,-18,21,-20,20,-17,22,-20,21,-19,19,-18,19,-20,19,-17,20,-21,17,-19,18,-19,19,-19,19,-21,19,-19,18,-21,20,-21,19,-22,19,-22,20,-22,0,0,21,-24,21,-22,20,-22,20,-22,18,-19,20,-21,18,-18,19,-18,17,-18,17,-20,16,-21,15,-19,15,-20,14,-20,14,-21,13,-20,14,-22,15,-20,16,-21,17,-18,16,-19,17,-16,17,-15,18,-15,19,-13,19,-11,16,-8,16,-7,0,0,0,0,0,0]"
CSI_DATA,552561,1a:00:00:00:00:00,-60,11,-95,4,47,6,552561,47,0,128,0,"[0,0,0,0,0,0,0,0,15,-18,16,-16,18,-17,19,-18,21,-17,23,-18,22,-17,22,-15,23,-17,23,-14,23,-15,22,-16,23,-16,22,-17,20,-18,18,-18,18,-19,20,-21,18,-20,18,-20,15,-22,16,-22,15,-23,13,-23,15,-25,11,-27,14,-28,13,-27,0,0,11,-29,11,-30,9,-28,10,-28,8,-26,7,-28,6,-26,6,-24,4,-26,1,-28,1,-28,-1,-24,-2,-26,-2,-22,-2,-25,-4,-24,-6,-25,-5,-24,-6,-25,-5,-23,-5,-25,-4,-23,-4,-24,-4,-23,-1,-22,0,-21,0,-19,1,-18,0,0,0,0,0,0]"
CSI_DATA,552701,1a:00:00:00:00:00,-60,11,-95,4,47,6,552701,47,0,128,0,"[0,0,0,0,0,0,0,0,-19,12,-20,12,-21,14,-22,12,-23,13,-23,15,-25,13,-24,11,-27,11,-26,7,-27,11,-24,9,-26,10,-26,11,-24,11,-24,14,-21,13,-23,17,-20,15,-21,15,-20,17,-19,18,-20,18,-18,19,-21,20,-18,22,-20,22,-18,22,0,0,-19,24,-17,24,-14,24,-15,25,-13,23,-14,24,-13,23,-10,23,-9,25,-8,26,-6,25,-6,24,-4,24,-4,23,-2,25,-3,24,0,25,-2,25,-2,25,-4,24,-3,24,-2,23,-4,24,-2,21,-4,22,-5,21,-6,19,-5,17,0,0,0,0,0,0]"
